iter	Accuracy	MultiClass
0	0.8115388585	1.246048591
1	0.8146351533	1.136600911
2	0.814222314	1.053180313
3	0.8122613273	0.9820585078
4	0.8099907111	0.9113352
5	0.8218598411	0.8395345796
6	0.882237589	0.7795025505
7	0.8830632676	0.724904761
8	0.8835793168	0.6782937174
9	0.8864691919	0.6291468803
10	0.8907007947	0.5870141161
11	0.8871916606	0.5578240501
12	0.8872948705	0.5329393085
13	0.8876044999	0.5083237731
14	0.8875012901	0.4907040561
15	0.8890494375	0.4716939048
16	0.8907007947	0.4553346484
17	0.8972030137	0.43701907
18	0.9077304159	0.4194341982
19	0.9108267107	0.4006905563
20	0.9142326349	0.3885551948
21	0.9180513985	0.3715094226
22	0.9188770771	0.3558272275
23	0.9194963361	0.3445953113
24	0.9205284343	0.3303853928
25	0.9205284343	0.3192353617
26	0.9213541129	0.30792714
27	0.9209412736	0.3026447423
28	0.9212509031	0.2946083177
29	0.9230054701	0.2860808632
30	0.9239343586	0.2783259566
31	0.9247600372	0.2681417202
32	0.927237073	0.2607922459
33	0.92899164	0.2525640652
34	0.9304365776	0.2455543527
35	0.9311590463	0.2407364461
36	0.9301269481	0.2380724716
37	0.9318815151	0.233608832
38	0.9325007741	0.2306399137
39	0.9339457116	0.2255025486
40	0.933739292	0.2220614778
41	0.9341521313	0.2198003619
42	0.9343585509	0.2167662455
43	0.9339457116	0.2133664069
44	0.9336360822	0.2113911582
45	0.9345649706	0.2074991812
46	0.9368355867	0.2035019002
47	0.9377644752	0.2027775158
48	0.9383837341	0.2003594496
49	0.9401383012	0.1969823809
50	0.9437506451	0.192546915
51	0.9463308907	0.1885241789
52	0.9490143462	0.1850850416
53	0.9503560739	0.1837220671
54	0.9494271855	0.1822539338
55	0.9496336051	0.1814520565
56	0.9494271855	0.1797103868
57	0.9505624935	0.1779743961
58	0.9504592837	0.176289529
59	0.9504592837	0.1756566639
60	0.9522138508	0.1727659409
61	0.9523170606	0.1717268828
62	0.9530395294	0.1704543587
63	0.9535555785	0.1687401483
64	0.9535555785	0.1681754257
65	0.9536587883	0.1670381789
66	0.9545876767	0.1655572701
67	0.9545876767	0.1653485016
68	0.9551037259	0.162661417
69	0.9554133554	0.1620914631
70	0.9555165652	0.1616220339
71	0.9551037259	0.1606377308
72	0.9552069357	0.1601911851
73	0.9553101455	0.1586097847
74	0.9552069357	0.15821292
75	0.9557229848	0.1574433049
76	0.9570647126	0.1547393431
77	0.9580968108	0.1538357843
78	0.9583032305	0.1532904459
79	0.9584064403	0.1520203993
80	0.9580968108	0.1517440852
81	0.957993601	0.1503306541
82	0.9586128599	0.1491704508
83	0.9584064403	0.1486631932
84	0.9587160698	0.1479213995
85	0.9590256992	0.1456925759
86	0.9589224894	0.1453567864
87	0.9593353287	0.1444415452
88	0.9593353287	0.1437303618
89	0.9594385385	0.1426624471
90	0.9594385385	0.1404005098
91	0.9598513779	0.1398659267
92	0.9601610073	0.1387472897
93	0.960367427	0.1384924004
94	0.9606770565	0.1384006306
95	0.9607802663	0.1379322459
96	0.9609866859	0.1377720639
97	0.9610898958	0.1372112649
98	0.9615027351	0.1366729033
99	0.9613995252	0.1363146634
100	0.9617091547	0.1362184114
101	0.9619155744	0.1359091322
102	0.9622252038	0.1351952505
103	0.962741253	0.1346397703
104	0.9631540923	0.133274033
105	0.9630508824	0.1327659558
106	0.9633605119	0.1321176447
107	0.9634637217	0.1319494876
108	0.963876561	0.1316968472
109	0.9648054495	0.1309742354
110	0.96449582	0.1304913181
111	0.96449582	0.1287529012
112	0.9650118691	0.1273293608
113	0.9656311281	0.1270250134
114	0.9658375477	0.1269013045
115	0.9660439674	0.1262316032
116	0.9661471772	0.1257553351
117	0.966250387	0.1256331185
118	0.9667664362	0.1248696682
119	0.9670760656	0.1244037473
120	0.9669728558	0.1235888989
121	0.9676953246	0.1227175013
122	0.9680049541	0.1223292603
123	0.9677985344	0.1220402552
124	0.968624213	0.1208796084
125	0.9691402622	0.1198843397
126	0.9698627309	0.1189704324
127	0.9700691506	0.1187737779
128	0.9705851997	0.1176467076
129	0.9705851997	0.1170426171
130	0.9707916194	0.1156001827
131	0.9713076685	0.1147263316
132	0.971617298	0.1133143401
133	0.9717205078	0.1120747782
134	0.9713076685	0.1115216361
135	0.9714108783	0.1105079745
136	0.9715140881	0.1103762253
137	0.9715140881	0.11010038
138	0.9720301373	0.1094890566
139	0.9720301373	0.1093343051
140	0.9722365569	0.1092676208
141	0.9720301373	0.1082310636
142	0.9721333471	0.1081631913
143	0.9723397667	0.1074777979
144	0.9721333471	0.1073244571
145	0.9725461864	0.1066410511
146	0.9725461864	0.1064922757
147	0.9726493962	0.1060372807
148	0.9726493962	0.1055522316
149	0.9728558159	0.1049455936
150	0.9728558159	0.1038598146
151	0.9729590257	0.1033885838
152	0.9731654454	0.1021667852
153	0.9732686552	0.102049127
154	0.9731654454	0.1018492048
155	0.9730622355	0.1018077418
156	0.9731654454	0.1015379907
157	0.973371865	0.1013652459
158	0.9735782847	0.1008378476
159	0.9736814945	0.1003937095
160	0.9735782847	0.1003315261
161	0.9736814945	0.09998391691
162	0.9743007534	0.09936023391
163	0.9746103829	0.09850398332
164	0.9746103829	0.09837443779
165	0.9748168026	0.09817493422
166	0.9747135927	0.09806440912
167	0.9749200124	0.09786859363
168	0.9753328517	0.09721437665
169	0.975126432	0.09625291394
170	0.9758489008	0.09573060752
171	0.9760553205	0.09507998534
