iter	Passed	Remaining
0	851	1702605
1	1701	1699860
2	2692	1792137
3	3554	1773874
4	4406	1758147
5	5209	1731200
6	6047	1721755
7	6965	1734361
8	7748	1714205
9	8691	1729667
10	9676	1749730
11	10801	1789469
12	11734	1793605
13	12690	1800205
14	13581	1797320
15	14526	1801257
16	15412	1797864
17	16308	1795770
18	17094	1782347
19	17952	1777328
20	18931	1784050
21	19778	1778280
22	20702	1779535
23	21627	1780638
24	22592	1784816
25	23433	1779136
26	24227	1770384
27	25032	1762972
28	25880	1758958
29	26890	1765818
30	27754	1762828
31	28555	1756175
32	29357	1749864
33	30229	1747975
34	31131	1747837
35	31915	1741188
36	32741	1737071
37	33562	1732896
38	34568	1738166
39	35554	1742175
40	36419	1740155
41	37228	1735542
42	38049	1731680
43	38992	1733415
44	39871	1732192
45	40685	1728247
46	41506	1724718
47	42340	1721847
48	43389	1727596
49	44332	1728962
50	45215	1727926
51	46069	1725829
52	47064	1728972
53	48128	1734399
54	49315	1743992
55	50317	1746727
56	51368	1751046
57	52436	1755710
58	53813	1770381
59	54987	1777937
60	56135	1784387
61	57142	1786177
62	58112	1786741
63	59137	1788914
64	60187	1791735
65	61253	1794923
66	62221	1795148
67	63097	1792716
68	64082	1793387
69	64947	1790701
70	65856	1789260
71	66817	1789222
72	67812	1790065
73	68686	1787708
74	69643	1787516
75	70546	1785931
76	71479	1785119
77	72393	1783844
78	73256	1781349
79	74185	1780455
80	75078	1778711
81	76009	1777876
82	76841	1774760
83	77694	1772182
84	78572	1770196
85	79394	1766982
86	80302	1765724
87	81148	1763129
88	82025	1761234
89	82898	1759287
90	83767	1757269
91	84649	1755547
92	85450	1752196
93	86360	1751096
94	87171	1748010
95	88071	1746742
96	88924	1744562
97	89777	1742411
98	90712	1741862
99	91578	1739993
100	92484	1738887
101	93366	1737349
102	94296	1736695
103	95209	1735748
104	96139	1735080
105	97138	1735668
106	98092	1735416
107	98991	1734185
108	99920	1733475
109	100839	1732598
110	101783	1732152
111	102701	1731249
112	103572	1729564
113	104550	1729671
114	105414	1727883
115	106377	1727716
116	107315	1727137
117	108304	1727359
118	109241	1726746
119	110217	1726744
120	111114	1725485
121	112104	1725667
122	113052	1725195
123	114007	1724823
124	114921	1723828
125	115865	1723273
126	116787	1722386
127	117712	1721546
128	118641	1720760
129	119548	1719652
130	120497	1719164
131	121343	1717198
132	122260	1716248
133	123094	1714142
134	123965	1712555
135	124831	1710925
136	125701	1709362
137	126571	1707799
138	127379	1705425
139	128289	1704418
140	129114	1702301
141	130006	1701074
142	130838	1699066
143	131702	1697501
144	132626	1696704
145	133483	1695054
146	134365	1693739
147	135165	1691400
148	136073	1690421
149	136903	1688472
150	137755	1686820
151	138617	1685298
152	139492	1683942
153	140382	1682761
154	141205	1680798
155	142124	1679989
156	142947	1678040
157	143854	1677084
158	144774	1676282
159	145645	1674921
160	146547	1673920
161	147392	1672268
162	148328	1671650
163	149238	1670744
164	150209	1670510
165	151080	1669163
166	152010	1668478
167	152941	1667787
168	153862	1666993
169	154789	1666263
170	155685	1665194
171	156686	1665251
172	157528	1663606
173	158517	1663521
174	159396	1662278
175	160376	1662088
176	161298	1661286
177	162252	1660808
178	163156	1659822
179	164098	1659223
180	165016	1658369
181	165910	1657282
182	166810	1656257
183	167677	1654900
184	168641	1654506
185	169531	1653391
186	170463	1652672
187	171299	1651031
188	172220	1650220
189	173145	1649439
190	174062	1648580
191	174934	1647302
192	175800	1645966
193	176741	1645334
194	177593	1643880
195	178530	1643205
196	179399	1641915
197	180293	1640856
198	181186	1639784
199	182076	1638690
200	182946	1637419
201	183791	1635922
202	184748	1635432
203	185616	1634153
204	186557	1633512
205	187407	1632085
206	188302	1631048
207	189222	1630226
208	190153	1629498
209	191095	1628862
210	191991	1627837
211	192938	1627240
212	193810	1626006
213	194765	1625472
214	195656	1624407
215	196600	1623774
216	197501	1622788
217	198424	1621982
218	199307	1620853
219	200209	1619873
220	201167	1619354
221	202089	1618536
222	203063	1618134
223	203911	1616727
224	204835	1615928
225	205682	1614516
226	206593	1613616
227	207445	1612249
228	208326	1611118
229	209286	1610592
230	210166	1609455
231	211110	1608805
232	211974	1607546
233	212911	1606845
234	213754	1605434
235	214679	1604638
236	215536	1603338
237	216415	1602199
238	217316	1601232
239	218205	1600170
240	219082	1599031
241	219893	1597411
242	220837	1596755
243	221694	1595472
244	222636	1594801
245	223494	1593536
246	224413	1592698
247	225297	1591617
248	226185	1590564
249	227071	1589503
250	227893	1587994
251	228832	1587300
252	229693	1586067
253	230647	1585473
254	231496	1584160
255	232420	1583361
256	233382	1582826
257	234292	1581925
258	235224	1581177
259	236086	1579966
260	237065	1579529
261	237951	1578469
262	238933	1578049
263	239798	1576859
264	240705	1575940
265	241599	1574935
266	242514	1574073
267	243390	1572958
268	244263	1571819
269	245229	1571284
270	246144	1570422
271	247058	1569545
272	247905	1568254
273	248816	1567363
274	249720	1566429
275	250702	1565984
276	251554	1564721
277	252427	1563598
278	253342	1562730
279	254249	1561818
280	255148	1560855
281	256022	1559737
282	256968	1559060
283	257850	1557997
284	258801	1557347
285	259662	1556156
286	260564	1555213
287	261491	1554424
288	262430	1553696
289	263322	1552694
290	264145	1551288
291	265090	1550596
292	265959	1549464
293	266908	1548797
294	267773	1547642
295	268700	1546843
296	269619	1546001
297	270559	1545273
298	271455	1544302
299	272338	1543253
300	273316	1542738
301	274263	1542050
302	275213	1541379
303	276083	1540256
304	277028	1539550
305	277918	1538539
306	278850	1537767
307	279721	1536651
308	280617	1535678
309	281570	1535014
310	282440	1533899
311	283349	1532994
312	284216	1531862
313	285177	1531239
314	286071	1530256
315	287025	1529590
316	287889	1528448
317	288764	1527363
318	289742	1526825
319	290660	1525967
320	291566	1525045
321	292402	1523762
322	293425	1523450
323	294355	1522651
324	295301	1521936
325	296170	1520825
326	297118	1520122
327	298074	1519451
328	299058	1518927
329	299959	1517978
330	300911	1517286
331	301920	1516879
332	302980	1516721
